Id;Designator;Footprint;Quantity;Designation;Supplier and ref;MPN;DNP
1;R7,R8,R6,R2,R3,R5;R_0201_0603Metric;6;10k;;;
2;U5;TSSOP-24_4.4x7.8mm_P0.65mm;1;PCA9555PW;;PCA9555PW;
3;SW2;SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm;1;SW_Wuerth_450301014042;;;DNP
4;C4,C9,C5,C11;CP_EIA-1608-08_AVX-J;4;P10uF;;;
5;C8,C7;C_0201_0603Metric;2;2.2uf;;;
6;C14,C13;C_0201_0603Metric;2;2.2nF;;;
7;U1;XIAO-ESP32C3-SMD;1;XIAO-ESP32-S3-SMD;;;DNP
8;C3,C12,C1,C6,C10,C2;C_0201_0603Metric;6;.1uF;;;
9;R1,R4;R_0201_0603Metric;2;470 O;;;
10;J5;3.5mm Audio Jack;1;AudioJack3_SwitchTR;;;DNP
11;SW1;SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm;1;Power;;;DNP
12;J2;MicroSD Card;1;Micro_SD_Card;;;DNP
13;U3;TSSOP-20_4.4x6.5mm_P0.65mm;1;PCM5102A;;PCM5102A;
14;J1;JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical;1;Conn_01x02_Pin;;;DNP
15;SW7;SW_PUSH-12mm;1;Front keys up;;;DNP
16;U2;Waveshare Pico LCD 2;1;~;;;DNP
17;SW4;SW_PUSH-12mm;1;front keys bottom;;;DNP
18;SW3;SW_PUSH-12mm;1;Front keys center;;;DNP
19;SW8;RE130F41175F12P;1;RotaryEncoder;;;DNP
20;SW5;SW_PUSH-12mm;1;Front Keys right;;;DNP
21;SW6;SW_PUSH-12mm;1;front keys left;;;DNP
