Ref,Val,Package,PosX,PosY,Rot,Side
"U2","~","Waveshare Pico LCD 2",21.070000,50.610000,90.000000,bottom
"C1",".1uF","C_0201_0603Metric",31.750000,17.530000,90.000000,top
"C2",".1uF","C_0201_0603Metric",15.155000,52.000000,90.000000,top
"C3",".1uF","C_0201_0603Metric",19.655000,37.000000,90.000000,top
"C4","P10uF","CP_EIA-1608-08_AVX-J",27.250000,17.065000,-90.000000,top
"C5","P10uF","CP_EIA-1608-08_AVX-J",31.500000,33.600000,0.000000,top
"C6",".1uF","C_0201_0603Metric",35.750000,26.670000,0.000000,top
"C7","2.2uf","C_0201_0603Metric",28.000000,21.500000,-90.000000,top
"C8","2.2uf","C_0201_0603Metric",35.000000,25.600000,-90.000000,top
"C9","P10uF","CP_EIA-1608-08_AVX-J",48.500000,20.285000,90.000000,top
"C10",".1uF","C_0201_0603Metric",45.750000,22.030000,90.000000,top
"C11","P10uF","CP_EIA-1608-08_AVX-J",48.500000,24.000000,-90.000000,top
"C12",".1uF","C_0201_0603Metric",45.500000,24.345000,90.000000,top
"C13","2.2nF","C_0201_0603Metric",33.750000,32.350000,90.000000,top
"C14","2.2nF","C_0201_0603Metric",36.905000,36.350000,0.000000,top
"J2","Micro_SD_Card","MicroSD Card",-0.275000,43.925000,90.000000,top
"J5","AudioJack3_SwitchTR","3.5mm Audio Jack",42.000000,33.000000,180.000000,top
"R1","470 O","R_0201_0603Metric",32.500000,31.850000,-90.000000,top
"R2","10k","R_0201_0603Metric",20.155000,35.000000,0.000000,top
"R3","10k","R_0201_0603Metric",18.905000,33.350000,0.000000,top
"R4","470 O","R_0201_0603Metric",33.570000,36.350000,180.000000,top
"R5","10k","R_0201_0603Metric",24.000000,33.350000,180.000000,top
"R6","10k","R_0201_0603Metric",2.250000,-1.400000,0.000000,top
"R7","10k","R_0201_0603Metric",7.500000,31.680000,90.000000,top
"R8","10k","R_0201_0603Metric",4.750000,28.505000,90.000000,top
"U3","PCM5102A","TSSOP-20_4.4x6.5mm_P0.65mm",40.000000,22.000000,0.000000,top
"U5","PCA9555PW","TSSOP-24_4.4x7.8mm_P0.65mm",13.862500,33.775000,0.000000,top
